コード,銘柄名
1332,ニッスイ
1414,ショーボンドホールディングス
1419,タマホーム
1518,三井松島ホールディングス
1605,INPEX
1662,石油資源開発
1719,安藤・間
1721,コムシスホールディングス
1801,大成建設
1802,大林組
1808,長谷工コーポレーション
1812,鹿島建設
1878,大東建託
1911,住友林業
1925,大和ハウス工業
1928,積水ハウス
1942,関電工
1951,エクシオグループ
1959,クラフティア
1969,高砂熱学工業
2124,ジェイエイシーリクルートメント
2127,日本M&Aセンターホールディングス
2154,オープンアップグループ
2168,パソナグループ
2181,パーソルホールディングス
2201,森永製菓
2222,寿スピリッツ
2229,カルビー
2264,森永乳業
2267,ヤクルト本社
2269,明治ホールディングス
2317,システナ
2327,日鉄ソリューションズ
2371,カカクコム
2379,ディップ
2384,SBSホールディングス
2413,エムスリー
2502,アサヒグループホールディングス
2503,キリンホールディングス
2531,宝ホールディングス
2587,サントリー食品インターナショナル
2670,エービーシー・マート
2678,アスクル
2685,アンドエスティHD
2702,日本マクドナルドホールディングス
2726,パルグループホールディングス
2760,東京エレクトロン デバイス
2767,円谷フィールズホールディングス
2768,双日
2801,キッコーマン
2802,味の素
2811,カゴメ
2871,ニチレイ
2875,東洋水産
2897,日清食品ホールディングス
2914,日本たばこ産業
3003,ヒューリック
3038,神戸物産
3064,MonotaRO
3086,J. フロント リテイリング
3088,マツキヨココカラ&カンパニー
3092,ZOZO
3107,ダイワボウホールディングス
3116,トヨタ紡織
3132,マクニカホールディングス
3148,クリエイトSDホールディングス
3186,ネクステージ
3231,野村不動産ホールディングス
3288,オープンハウスグループ
3289,東急不動産ホールディングス
3291,飯田グループホールディングス
3349,コスモス薬品
3360,シップヘルスケアホールディングス
3382,セブン&アイ・ホールディングス
3391,ツルハホールディングス
3402,東レ
3405,クラレ
3436,SUMCO
3465,ケイアイスター不動産
3549,クスリのアオキホールディングス
3563,FOOD & LIFE COMPANIES
3626,TIS
3635,コーエーテクモホールディングス
3659,ネクソン
3697,SHIFT
3765,ガンホー・オンライン・エンターテイメント
3769,GMOペイメントゲートウェイ
3774,インターネットイニシアティブ
3861,王子ホールディングス
3923,ラクス
4004,レゾナック・ホールディングス
4021,日産化学
4042,東ソー
4062,イビデン
4063,信越化学工業
4088,エア・ウォーター
4091,日本酸素ホールディングス
4151,協和キリン
4182,三菱瓦斯化学
4183,三井化学
4186,東京応化工業
4188,三菱ケミカルグループ
4194,ビジョナル
4202,ダイセル
4203,住友ベークライト
4204,積水化学工業
4307,野村総合研究所
4385,メルカリ
4401,ADEKA
4403,日油
4452,花王
4503,アステラス製薬
4507,塩野義製薬
4516,日本新薬
4519,中外製薬
4523,エーザイ
4527,ロート製薬
4528,小野薬品工業
4543,テルモ
4568,第一三共
4578,大塚ホールディングス
4587,ペプチドリーム
4612,日本ペイントホールディングス
4613,関西ペイント
4626,太陽ホールディングス
4661,オリエンタルランド
4666,パーク24
4680,ラウンドワン
4681,リゾートトラスト
4684,オービック
4686,ジャストシステム
4689,LINEヤフー
4704,トレンドマイクロ
4716,日本オラクル
4722,フューチャー
4732,ユー・エス・エス
4768,大塚商会
4812,電通総研
4816,東映アニメーション
4901,富士フイルムホールディングス
4912,ライオン
4967,小林製薬
4980,デクセリアルズ
5019,出光興産
5020,ENEOSホールディングス
5021,コスモエネルギーホールディングス
5032,ANYCOLOR
5076,インフロニア・ホールディングス
5101,横浜ゴム
5105,TOYO TIRE
5108,ブリヂストン
5332,TOTO
5333,日本碍子
5334,日本特殊陶業
5344,MARUWA
5393,ニチアス
5401,日本製鉄
5406,神戸製鋼所
5411,JFEホールディングス
5423,東京製鐵
5444,大和工業
5471,大同特殊鋼
5480,日本冶金工業
5706,三井金属
5713,住友金属鉱山
5714,DOWAホールディングス
5802,住友電気工業
5803,フジクラ
5805,SWCC
5857,AREホールディングス
5929,三和ホールディングス
5947,リンナイ
5991,日本発條
6005,三浦工業
6098,リクルートホールディングス
6101,ツガミ
6113,アマダ
6141,DMG森精機
6146,ディスコ
6201,豊田自動織機
6254,野村マイクロ・サイエンス
6269,三井海洋開発
6273,SMC
6301,小松製作所
6305,日立建機
6323,ローツェ
6326,クボタ
6361,荏原製作所
6367,ダイキン工業
6368,オルガノ
6383,ダイフク
6417,SANKYO
6432,竹内製作所
6436,アマノ
6448,ブラザー工業
6460,セガサミーホールディングス
6465,ホシザキ
6479,ミネベアミツミ
6501,日立製作所
6503,三菱電機
6504,富士電機
6506,安川電機
6532,ベイカレント
6544,ジャパンエレベーターサービスホールディングス
6586,マキタ
6590,芝浦メカトロニクス
6632,JVCケンウッド
6645,オムロン
6670,MCJ
6701,日本電気
6702,富士通
6707,サンケン電気
6723,ルネサスエレクトロニクス
6724,セイコーエプソン
6728,アルバック
6752,パナソニック ホールディングス
6758,ソニーグループ
6762,TDK
6787,メイコー
6806,ヒロセ電機
6841,横河電機
6845,アズビル
6849,日本光電工業
6856,堀場製作所
6857,アドバンテスト
6861,キーエンス
6869,シスメックス
6902,デンソー
6920,レーザーテック
6951,日本電子
6954,ファナック
6965,浜松ホトニクス
6966,三井ハイテック
6981,村田製作所
6988,日東電工
7003,三井E&S
7004,カナデビア
7011,三菱重工業
7012,川崎重工業
7013,IHI
7014,名村造船所
7105,三菱ロジスネクスト
7148,FPG
7164,全国保証
7167,めぶきフィナンシャルグループ
7186,横浜フィナンシャルグループ
7202,いすゞ自動車
7203,トヨタ自動車
7211,三菱自動車工業
7259,アイシン
7261,マツダ
7267,本田技研工業
7269,スズキ
7270,SUBARU
7272,ヤマハ発動機
7276,小糸製作所
7282,豊田合成
7309,シマノ
7419,ノジマ
7453,良品計画
7459,メディパルホールディングス
7532,パン・パシフィック・インターナショナルホールディングス
7550,ゼンショーホールディングス
7564,ワークマン
7599,IDOM
7649,スギホールディングス
7701,島津製作所
7716,ナカニシ
7729,東京精密
7733,オリンパス
7735,SCREENホールディングス
7740,タムロン
7741,HOYA
7744,ノーリツ鋼機
7747,朝日インテック
7751,キヤノン
7762,シチズン時計
7832,バンダイナムコホールディングス
7846,パイロットコーポレーション
7867,タカラトミー
7906,ヨネックス
7912,大日本印刷
7936,アシックス
7944,ローランド
7951,ヤマハ
7974,任天堂
7988,ニフコ
7994,オカムラ
8001,伊藤忠商事
8002,丸紅
8015,豊田通商
8020,兼松
8031,三井物産
8035,東京エレクトロン
8053,住友商事
8056,BIPROGY
8058,三菱商事
8060,キヤノンマーケティングジャパン
8078,阪和興業
8088,岩谷産業
8098,稲畑産業
8111,ゴールドウイン
8113,ユニ・チャーム
8130,サンゲツ
8133,伊藤忠エネクス
8136,サンリオ
8154,加賀電子
8174,日本瓦斯
8194,ライフコーポレーション
8227,しまむら
8252,丸井グループ
8253,クレディセゾン
8306,三菱UFJフィナンシャル・グループ
8308,りそなホールディングス
8309,三井住友トラストグループ
8316,三井住友フィナンシャルグループ
8331,千葉銀行
8354,ふくおかフィナンシャルグループ
8410,セブン銀行
8411,みずほフィナンシャルグループ
8424,芙蓉総合リース
8425,みずほリース
8439,東京センチュリー
8473,SBIホールディングス
8515,アイフル
8572,アコム
8584,ジャックス
8591,オリックス
8593,三菱HCキャピタル
8601,大和証券グループ本社
8604,野村ホールディングス
8630,SOMPOホールディングス
8697,日本取引所グループ
8725,MS&ADインシュアランスグループホールディングス
8729,ソニーフィナンシャルグループ
8750,第一生命ホールディングス
8766,東京海上ホールディングス
8801,三井不動産
8802,三菱地所
8804,東京建物
8830,住友不動産
8848,レオパレス21
8850,スターツコーポレーション
8876,リログループ
8919,カチタス
8923,トーセイ
9005,東急
9006,京浜急行電鉄
9007,小田急電鉄
9008,京王電鉄
9009,京成電鉄
9021,西日本旅客鉄道
9022,東海旅客鉄道
9024,西武ホールディングス
9041,近鉄グループホールディングス
9064,ヤマトホールディングス
9065,山九
9069,センコーグループホールディングス
9090,AZ-COM丸和ホールディングス
9101,日本郵船
9104,商船三井
9107,川崎汽船
9110,NSユナイテッド海運
9119,飯野海運
9142,九州旅客鉄道
9143,SGホールディングス
9147,NIPPON EXPRESSホールディングス
9201,日本航空
9202,ANAホールディングス
9302,三井倉庫ホールディングス
9418,U-NEXT HOLDINGS
9432,NTT
9433,KDDI
9434,ソフトバンク
9435,光通信
9449,GMOインターネットグループ
9502,中部電力
9503,関西電力
9506,東北電力
9507,四国電力
9508,九州電力
9509,北海道電力
9513,電源開発
9531,東京瓦斯
9532,大阪瓦斯
9602,東宝
9684,スクウェア・エニックス・ホールディングス
9697,カプコン
9719,SCSK
9735,セコム
9744,メイテックグループホールディングス
9759,NSD
9766,コナミグループ
9843,ニトリホールディングス
9962,ミスミグループ本社
9983,ファーストリテイリング
9984,ソフトバンクグループ
9989,サンドラッグ
417A,ブルーゾーンホールディングス